starId	movieId
nm9425976	AA13
nm9425868	AA13
nm9426619	AA13
nm9426778	AA13
nm9429320	AA13
nm9427949	AA13
nm9425505	AA13
nm9424190	AA13
nm9423947	AA13
nm9427303	AA14
nm9424783	AA14
nm9427282	AA14
nm9426770	AA16
nm9424993	AA16
nm9427087	AA16
nm9425060	AA16
nm9428711	AA16
nm9423295	AA16
nm9428666	AA16
nm9427290	AA16
nm9428238	AA29
nm9424635	AA29
nm9425501	AA29
nm9426949	AA29
nm9425999	AA29
nm9423692	AA37
nm9424608	AA37
nm9427071	AA37
nm9429685	AA37
nm9427454	AA37
nm9424567	AA37
nm9429605	AA37
nm9427036	AA37
nm9428695	AA38
nm9426810	AA38
nm9428106	AA38
nm9428221	AA38
nm9423472	AA38
nm9423920	AA41
nm9429172	AA41
nm9428880	AA41
nm9429181	AA41
nm9427042	AA41
nm9429644	AA41
nm9428106	AA41
nm9429605	AA41
nm9424335	AA41
nm9425895	AA41
nm9427849	AaB10
nm9428880	AaB10
nm9424903	AaB10
nm9423150	AAl6
nm9423903	AAl6
nm9424639	AAl6
nm9427435	AAl6
nm9429667	AAl6
nm9423272	AAl6
nm9423150	AAl10
nm9423955	AAl10
nm9427982	AAl10
nm9425956	AAl10
nm9425373	AAl10
nm9428489	AAl10
nm9424163	AAl10
nm9428355	AAl20
nm9423150	AAl20
nm9426245	AAl20
nm9427964	AAl20
nm9427739	AAl20
nm9429879	AAl20
nm9423104	AAn10
nm9426673	AAn10
nm9428558	AAr10
nm9429422	AAr10
nm9425970	AAr10
nm9429838	AAr10
nm9426275	AAr20
nm9427965	AAr20
nm9428140	AAr20
nm9427112	AAr20
nm9429584	AAS10
nm9426685	AAS10
nm9429249	AAS10
nm9424660	AbA10
nm9423716	ABd4
nm9423628	ABd4
nm9429152	AbF10
nm9428841	AbF10
nm9429215	AbF10
nm9429519	AbF20
nm9426302	AbF25
nm9426931	AbF26
nm9426302	AbF26
nm9429267	AbF27
nm9424811	ABi10
nm9423778	ABi10
nm9427609	ABi10
nm9425250	ABi20
nm9426810	ABl10
nm9427077	ABl10
nm9425532	ABn1
nm9429881	AbP10
nm9428962	AbP10
nm9428808	AbP10
nm9428801	AbP50
nm9427061	AbP50
nm9428946	AbP50
nm9423830	ABr1
nm9427121	ABr1
nm9425542	ABr1
nm9423830	ABr2
nm9425710	ABr2
nm9426414	ABr2
nm9423834	ABr2
nm9426679	ABr2
nm9426347	ABr2
nm9427797	ABr2
nm9423830	ABr3
nm9425589	ABr3
nm9423830	ABr4
nm9425468	ABr4
nm9429079	ABr4
nm9429293	ABr4
nm9426903	ABr4
nm9428302	ABr7
nm9429266	ABr9
nm9427414	ABu10
nm9424514	ABu10
nm9426511	ABu10
nm9429591	ABu10
nm9426151	ABu10
nm9427393	ABW40
nm9424445	ABW40
nm9425858	ABW40
nm9423409	ABW40
nm9427626	ABW40
nm9429800	ABW40
nm9427981	ABW40
nm9427848	ABz10
nm9428480	ABz10
nm9429353	ABz10
nm9429115	ABz10
nm9428975	ABz10
nm9423456	AC5
nm9423315	AC5
nm9427746	AC5
nm9429173	AC5
